# RTL_ID 20111300
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: addiu.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00000200   ---        --------
               6   N   00000200   0000e101   00000204   x10_a0     00000000
               7   N   00000204   00004e01   00000206   ---        --------
               8   N   00000206   00000297   00000208   x28_t3     00000000
               9   N   00000208   fb828293   0000020c   x05_t0     00000208
              10   N   0000020c   30529073   00000210   x05_t0     000001c0
              11   N   00000210   00004505   00000214   ---        --------
              12   N   00000214   0000057e   00000216   x10_a0     00000001
              13   N   00000216   00054863   00000218   x10_a0     80000000
              14   N   00000218   0ff0000f   00000228   ---        --------
              17   N   00000228   00028d63   0000022c   x05_t0     00000000
              18   N   0000022c   10529073   00000246   ---        --------
              22   N   00000246   00020297   0000024a   ---        --------
              23   N   0000024a   00000297   0000024a   ---        --------
              24   N   0000024a   30008293   0000024e   x05_t0     0000024a
              26   N   0000024e   00009073   00000252   x05_t0     000002a0
              28   N   00000252   05622573   00000256   ---        --------
              30   N   00000256   34120073   0000025a   x10_a0     00000000
              33   N   0000025a   00000000   000002a0   ---        --------
              36   N   000002a0   001302ab   000002a2   x06_t1     00000000
              37   N   000002a2   00004e85   000002a6   x05_t0     00000001
              38   N   000002a6   00004e05   000002a8   x29_t4     00000001
              39   N   000002a8   09d29b63   000002aa   x28_t3     00000001
              40   N   000002aa   00004301   000002ae   ---        --------
              41   N   000002ae   000302ab   000002b0   x06_t1     00000000
              42   N   000002b0   00004e81   000002b4   x05_t0     00000000
              43   N   000002b4   00004e09   000002b6   x29_t4     00000000
              44   N   000002b6   09d29463   000002b8   x28_t3     00000002
              45   N   000002b8   00004305   000002bc   ---        --------
              46   N   000002bc   000302ab   000002be   x06_t1     00000001
              47   N   000002be   00004e85   000002c2   x05_t0     00000001
              48   N   000002c2   00004e0d   000002c4   x29_t4     00000001
              49   N   000002c4   07d29d63   000002c6   x28_t3     00000003
              50   N   000002c6   00004305   000002ca   ---        --------
              51   N   000002ca   001302ab   000002cc   x06_t1     00000001
              52   N   000002cc   00004e89   000002d0   x05_t0     00000002
              53   N   000002d0   00004e11   000002d2   x29_t4     00000002
              54   N   000002d2   07d29663   000002d4   x28_t3     00000004
              55   N   000002d4   00004301   000002d8   ---        --------
              56   N   000002d8   fff302ab   000002da   x06_t1     00000000
              57   N   000002da   00006e85   000002de   x05_t0     00000fff
              58   N   000002de   00001efd   000002e0   x29_t4     00001000
              59   N   000002e0   00004e15   000002e2   x29_t4     00000fff
              60   N   000002e2   05d29e63   000002e4   x28_t3     00000005
              61   N   000002e4   00004305   000002e8   ---        --------
              62   N   000002e8   800302ab   000002ea   x06_t1     00000001
              63   N   000002ea   00006e85   000002ee   x05_t0     00000801
              64   N   000002ee   801e8e93   000002f0   x29_t4     00001000
              65   N   000002f0   00004e19   000002f4   x29_t4     00000801
              66   N   000002f4   05d29563   000002f6   x28_t3     00000006
              67   N   000002f6   0000737d   000002fa   ---        --------
              68   N   000002fa   800302ab   000002fc   x06_t1     fffff000
              69   N   000002fc   80000e93   00000300   x05_t0     fffff800
              70   N   00000300   00004e1d   00000304   x29_t4     fffff800
              71   N   00000304   03d29d63   00000306   x28_t3     00000007
              72   N   00000306   0000737d   0000030a   ---        --------
              73   N   0000030a   800302ab   0000030c   x06_t1     fffff000
              74   N   0000030c   80000e93   00000310   x05_t0     fffff800
              75   N   00000310   00004e21   00000314   x29_t4     fffff800
              76   N   00000314   03d29563   00000316   x28_t3     00000008
              77   N   00000316   4e210313   0000031a   ---        --------
              79   N   0000031a   03d202ab   0000031e   x06_t1     ffffffff
              81   N   0000031e   00004e81   00000322   x05_t0     00000000
              82   N   00000322   00004e25   00000324   x29_t4     00000000
              83   N   00000324   01d29d63   00000326   x28_t3     00000009
              84   N   00000326   4e250313   0000032a   ---        --------
              86   N   0000032a   01d202ab   0000032e   x06_t1     ffffffff
              88   N   0000032e   00006e85   00000332   x05_t0     00000ffe
              89   N   00000332   00001ef9   00000334   x29_t4     00001000
              90   N   00000334   00004e29   00000336   x29_t4     00000ffe
              91   N   00000336   01d29463   00000338   x28_t3     0000000a
              92   N   00000338   01c01863   0000033c   ---        --------
              93   N   0000033c   0ff0000f   0000034c   ---        --------
              96   N   0000034c   000085f2   00000350   ---        --------
              97   N   00000350   00004501   00000352   x11_a1     0000000a
              98   N   00000352   00000073   00000354   x10_a0     00000000
              99   E   00000354   00000073   000001c0   mstatus    00001800
              99   E   00000354   00000073   000001c0   mepc       00000354
              99   E   00000354   00000073   000001c0   mcause     0000000b
              99   E   00000354   00000073   000001c0   mtval      00000000
             102   N   000001c0   000047a1   000001c4   x14_a4     0000000b
             103   N   000001c4   02f70263   000001c6   x15_a5     00000008
             104   N   000001c6   000047a5   000001ca   ---        --------
             105   N   000001ca   00f70f63   000001cc   x15_a5     00000009
             106   N   000001cc   000047ad   000001d0   ---        --------
             107   N   000001d0   00f70c63   000001d2   x15_a5     0000000b
             108   N   000001d2   47ad0713   000001ea   ---        --------
             112   N   000001ea   07130013   00000360   ---        --------
             115   N   00000360   d9428293   00000364   x05_t0     00000360
             116   N   00000364   00008282   00000368   x05_t0     000000f4
             117   N   00000368   00000013   000000f4   ---        --------
             120   N   000000f4   0000006f   000000f8   ---        --------
             121   N   000000f8   ffffffff   000000f8   ---        --------
